"filename", "language", "JSON", "JavaScript", "vue", "Markdown", "comment", "blank", "total"
"d:\项目\综合课程设计\SOMS-5\.cunzhi-memory\patterns.md", "Markdown", 0, 0, 0, 1, 0, 0, 1
"d:\项目\综合课程设计\SOMS-5\admin-frontend\package-lock.json", "JSON", 65, 0, 0, 0, 0, 0, 65
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\components\EnhancedBreadcrumb.vue", "vue", 0, 0, 2, 0, 0, 0, 2
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\components\LanguageSwitcher.vue", "vue", 0, 0, 223, 0, 0, 38, 261
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\i18n\locales\en-US.js", "JavaScript", 0, 342, 0, 0, 17, 17, 376
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\i18n\locales\zh-CN.js", "JavaScript", 0, 342, 0, 0, 17, 17, 376
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\layout\Layout.vue", "vue", 0, 0, 2, 0, 1, 1, 4
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\main.js", "JavaScript", 0, 5, 0, 0, 2, 1, 8
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\stores\language.js", "JavaScript", 0, 154, 0, 0, 66, 39, 259
"d:\项目\综合课程设计\SOMS-5\employee-frontend\package-lock.json", "JSON", 65, 0, 0, 0, 0, 0, 65
"d:\项目\综合课程设计\SOMS-5\employee-frontend\src\components\EnhancedBreadcrumb.vue", "vue", 0, 0, 2, 0, 0, 0, 2
"d:\项目\综合课程设计\SOMS-5\employee-frontend\src\components\LanguageSwitcher.vue", "vue", 0, 0, 223, 0, 0, 38, 261
"d:\项目\综合课程设计\SOMS-5\employee-frontend\src\i18n\locales\en-US.js", "JavaScript", 0, 250, 0, 0, 13, 13, 276
"d:\项目\综合课程设计\SOMS-5\employee-frontend\src\layout\Layout.vue", "vue", 0, 0, 2, 0, 1, 1, 4
"d:\项目\综合课程设计\SOMS-5\employee-frontend\src\main.js", "JavaScript", 0, 5, 0, 0, 2, 1, 8
"d:\项目\综合课程设计\SOMS-5\employee-frontend\src\stores\language.js", "JavaScript", 0, 154, 0, 0, 66, 39, 259
"Total", "-", 130, 1252, 454, 1, 185, 205, 2227
