"filename", "language", "Markdown", "Python", "MS SQL", "JSON with Comments", "XML", "JSON", "JavaScript", "Properties", "HTML", "YAML", "vue", "PostCSS", "Java", "comment", "blank", "total"
"d:\项目\综合课程设计\SOMS-5\.cunzhi-memory\context.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\项目\综合课程设计\SOMS-5\.cunzhi-memory\metadata.json", "JSON", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\项目\综合课程设计\SOMS-5\.cunzhi-memory\patterns.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\项目\综合课程设计\SOMS-5\.cunzhi-memory\preferences.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"d:\项目\综合课程设计\SOMS-5\.cunzhi-memory\rules.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\项目\综合课程设计\SOMS-5\.idea\bangong.iml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"d:\项目\综合课程设计\SOMS-5\.idea\compiler.xml", "XML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"d:\项目\综合课程设计\SOMS-5\.idea\encodings.xml", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\项目\综合课程设计\SOMS-5\.idea\jarRepositories.xml", "XML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"d:\项目\综合课程设计\SOMS-5\.idea\misc.xml", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"d:\项目\综合课程设计\SOMS-5\.idea\modules.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\项目\综合课程设计\SOMS-5\.idea\vcs.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
