Date : 2025-08-31 15:19:19
Directory : d:\项目\综合课程设计\SOMS-5
Total : 560 files,  77779 codes, 7259 comments, 10461 blanks, all 95499 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| vue                |         85 |     36,169 |        332 |      4,697 |     41,198 |
| Java               |        374 |     25,352 |      5,180 |      4,244 |     34,776 |
| JavaScript         |         46 |      7,708 |      1,530 |        943 |     10,181 |
| JSON               |          7 |      5,432 |          0 |          5 |      5,437 |
| MS SQL             |          3 |        936 |        132 |         94 |      1,162 |
| Markdown           |         13 |        906 |          0 |        307 |      1,213 |
| XML                |         20 |        635 |         41 |         63 |        739 |
| PostCSS            |          2 |        272 |         20 |         52 |        344 |
| YAML               |          5 |        257 |         19 |         40 |        316 |
| Properties         |          1 |         58 |          3 |         13 |         74 |
| HTML               |          2 |         26 |          0 |          0 |         26 |
| Python             |          1 |         16 |          2 |          3 |         21 |
| JSON with Comments |          1 |         12 |          0 |          0 |         12 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                        |        560 |     77,779 |      7,259 |     10,461 |     95,499 |
| . (Files)                                                                                                                                |          9 |      1,084 |          2 |        208 |      1,294 |
| .cunzhi-memory                                                                                                                           |          5 |         15 |          0 |          8 |         23 |
| .idea                                                                                                                                    |          7 |         88 |          0 |          0 |         88 |
| admin-backend                                                                                                                            |        221 |     15,075 |      3,204 |      2,492 |     20,771 |
| admin-backend (Files)                                                                                                                    |          1 |        154 |         19 |         24 |        197 |
| admin-backend\src                                                                                                                        |        103 |      9,269 |      3,036 |      2,454 |     14,759 |
| admin-backend\src\main                                                                                                                   |        103 |      9,269 |      3,036 |      2,454 |     14,759 |
| admin-backend\src\main\java                                                                                                              |        100 |      9,178 |      3,031 |      2,441 |     14,650 |
| admin-backend\src\main\java\com                                                                                                          |        100 |      9,178 |      3,031 |      2,441 |     14,650 |
| admin-backend\src\main\java\com\office                                                                                                   |        100 |      9,178 |      3,031 |      2,441 |     14,650 |
| admin-backend\src\main\java\com\office\admin                                                                                             |        100 |      9,178 |      3,031 |      2,441 |     14,650 |
| admin-backend\src\main\java\com\office\admin (Files)                                                                                     |          1 |         12 |          6 |          4 |         22 |
| admin-backend\src\main\java\com\office\admin\common                                                                                      |          3 |        116 |         64 |         40 |        220 |
| admin-backend\src\main\java\com\office\admin\config                                                                                      |          6 |        203 |         69 |         55 |        327 |
| admin-backend\src\main\java\com\office\admin\controller                                                                                  |         17 |      2,383 |        633 |        466 |      3,482 |
| admin-backend\src\main\java\com\office\admin\dto                                                                                         |         10 |        337 |        174 |        123 |        634 |
| admin-backend\src\main\java\com\office\admin\entity                                                                                      |         20 |      1,362 |        380 |        527 |      2,269 |
| admin-backend\src\main\java\com\office\admin\mapper                                                                                      |         18 |      1,055 |        529 |        209 |      1,793 |
| admin-backend\src\main\java\com\office\admin\service                                                                                     |         23 |      3,489 |      1,128 |        967 |      5,584 |
| admin-backend\src\main\java\com\office\admin\service (Files)                                                                             |         13 |        713 |        742 |        337 |      1,792 |
| admin-backend\src\main\java\com\office\admin\service\impl                                                                                |         10 |      2,776 |        386 |        630 |      3,792 |
| admin-backend\src\main\java\com\office\admin\util                                                                                        |          1 |         58 |         25 |         14 |         97 |
| admin-backend\src\main\java\com\office\admin\websocket                                                                                   |          1 |        163 |         23 |         36 |        222 |
| admin-backend\src\main\resources                                                                                                         |          3 |         91 |          5 |         13 |        109 |
| admin-backend\src\main\resources (Files)                                                                                                 |          1 |         44 |          3 |          8 |         55 |
| admin-backend\src\main\resources\mapper                                                                                                  |          2 |         47 |          2 |          5 |         54 |
| admin-backend\target                                                                                                                     |        117 |      5,652 |        149 |         14 |      5,815 |
| admin-backend\target\classes                                                                                                             |        117 |      5,652 |        149 |         14 |      5,815 |
| admin-backend\target\classes (Files)                                                                                                     |          1 |         44 |          3 |          8 |         55 |
| admin-backend\target\classes\com                                                                                                         |        114 |      5,561 |        144 |          1 |      5,706 |
| admin-backend\target\classes\com\office                                                                                                  |        114 |      5,561 |        144 |          1 |      5,706 |
| admin-backend\target\classes\com\office\admin                                                                                            |        114 |      5,561 |        144 |          1 |      5,706 |
| admin-backend\target\classes\com\office\admin (Files)                                                                                    |          1 |          7 |          0 |          0 |          7 |
| admin-backend\target\classes\com\office\admin\common                                                                                     |          3 |         67 |          0 |          0 |         67 |
| admin-backend\target\classes\com\office\admin\config                                                                                     |          6 |        120 |         34 |          0 |        154 |
| admin-backend\target\classes\com\office\admin\controller                                                                                 |         24 |        880 |         56 |          0 |        936 |
| admin-backend\target\classes\com\office\admin\dto                                                                                        |         13 |        834 |          1 |          0 |        835 |
| admin-backend\target\classes\com\office\admin\entity                                                                                     |         20 |      1,517 |          0 |          0 |      1,517 |
| admin-backend\target\classes\com\office\admin\mapper                                                                                     |         18 |        237 |          0 |          0 |        237 |
| admin-backend\target\classes\com\office\admin\service                                                                                    |         27 |      1,798 |         53 |          1 |      1,852 |
| admin-backend\target\classes\com\office\admin\service (Files)                                                                            |         15 |        332 |          0 |          0 |        332 |
| admin-backend\target\classes\com\office\admin\service\impl                                                                               |         12 |      1,466 |         53 |          1 |      1,520 |
| admin-backend\target\classes\com\office\admin\util                                                                                       |          1 |         32 |          0 |          0 |         32 |
| admin-backend\target\classes\com\office\admin\websocket                                                                                  |          1 |         69 |          0 |          0 |         69 |
